round,left_agent,right_agent,left_score,right_score,left_reward,right_reward,left_status,right_status
0,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,0,1,-1,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,0,0,0,0,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,1,0,1,-1,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,1,0,1,-1,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,0,0,0,0,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
0,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,1,0,1,-1,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,0,0,0,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,0,1,-1,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,1,0,1,-1,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,0,0,0,0,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,1,0,1,-1,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
1,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
1,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
1,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,0,0,0,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,0,0,0,0,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,1,0,1,-1,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,0,0,0,0,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,1,0,1,-1,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,0,0,0,0,DONE,DONE
2,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,1,0,1,-1,DONE,DONE
