round,left_agent,right_agent,left_score,right_score,left_reward,right_reward,left_status,right_status
0,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,2,-1,1,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,5,0,5,-5,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,5,2,3,-3,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,2,3,-1,1,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,4,0,4,-4,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,3,1,2,-2,DONE,DONE
0,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,3,2,1,-1,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,3,4,-1,1,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,5,2,3,-3,DONE,DONE
0,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,7,0,7,-7,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,4,-3,3,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,5,-4,4,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,1,5,-4,4,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,5,0,5,-5,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,5,1,4,-4,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,3,1,2,-2,DONE,DONE
1,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
1,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,2,1,1,-1,DONE,DONE
